config_field,required_filename,source_object,required_columns,requested_start,requested_end,selection_notes,paper_vintage_filename,paper_vintage_bytes,paper_vintage_sha256
option_prices,option_price_view_indices_2020.csv,IvyDB.dbo.OPTION_PRICE_VIEW,"SecurityID|Date|Symbol|SymbolFlag|Strike|Expiration|CallPut|BestBid|BestOffer|LastTradeDate|Volume|OpenInterest|SpecialSettlement|ImpliedVolatility|Delta|Gamma|Vega|Theta|OptionID|AdjustmentFactor|AMSettlement|ContractSize|ExpiryIndicator",1996-01-01,2020-12-31,"SecurityID in 108105,102434,102456,102480; retain all expirations and SPXW rows",option_price_view_indices_2020.csv,9215455553,dc5abf435c4ca0dda29c60d6946dbd67173c244dc01211d947c97cd14364d4f9
security_prices,security_price_indices_through_2021_01.csv,IvyDB.dbo.SECURITY_PRICE,"SecurityID|Date|BidLow|AskHigh|ClosePrice|Volume|TotalReturn|AdjustmentFactor|OpenPrice|SharesOutstanding|AdjustmentFactor2",1996-01-01,2021-01-31,"Same four SecurityIDs; include at least the 2021-01-13 closes used to value the final option block",closing_prices_2020.csv,1765626,ea134bef3e0afff413b6916703629aac4d880563898f6c33a419e3603bb30c14
zero_curve,zero_curve_through_2020.csv,IvyDB.dbo.ZERO_CURVE,"Date|Days|Rate",1996-01-01,2020-12-31,"Retain every available maturity for every date",zero_curve_2020.csv,9742818,68a8f24ae0cf420e822c00e557e71bd13bd3f83971c3a8018f7bf5bb7a3fddc3
