file,rows,bytes,sha256
SPXfinal.csv,69835,20213249,ee0862bb4b98438445807f4a980562a97347da9f22bfe6a8214d0484a5807465
NDXfinal.csv,53527,15437051,3be98249cb42181e24ec4a1509fa57131e8ae33fdb24542e4170088a9b72763f
DJXfinal.csv,25455,7191747,45ac7f5e3dc04b1d9d5adeb053abeb72f0c621e772bce49377bb8db46a95f8b3
RUTfinal.csv,40279,11535210,aed4090211d3c37a3d3d527c5b119f25b1b5393c9fdced823fc8f7db5c0f0e7c
