"ticker","panel","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"SPX","solvency",2,"5","hsd_ann",3.78,FALSE,""
"SPX","solvency",2,"5","appraisal_ann",1.16,FALSE,""
"SPX","solvency",3,"1","mean_ann",8.01,FALSE,""
"SPX","solvency",3,"1","sd_ann",10.96,FALSE,""
"SPX","solvency",3,"1","sharpe_ann",0.73,FALSE,""
"SPX","solvency",3,"1","alpha_ann",5.84,FALSE,""
"SPX","solvency",3,"1","beta",0.3,FALSE,""
"SPX","solvency",3,"1","hsd_ann",9.55,FALSE,""
"SPX","solvency",3,"1","appraisal_ann",0.61,FALSE,""
"SPX","solvency",3,"3","mean_ann",8.09,FALSE,""
"SPX","solvency",3,"3","sd_ann",8.49,FALSE,""
"SPX","solvency",3,"3","sharpe_ann",0.95,FALSE,""
"SPX","solvency",3,"3","alpha_ann",6.48,FALSE,""
"SPX","solvency",3,"3","beta",0.22,FALSE,""
"SPX","solvency",3,"3","hsd_ann",7.5,FALSE,""
"SPX","solvency",3,"3","appraisal_ann",0.86,FALSE,""
"SPX","solvency",3,"5","mean_ann",7.84,FALSE,""
"SPX","solvency",3,"5","sd_ann",7.23,FALSE,""
"SPX","solvency",3,"5","sharpe_ann",1.08,FALSE,""
"SPX","solvency",3,"5","alpha_ann",6.56,FALSE,""
"SPX","solvency",3,"5","beta",0.18,FALSE,""
"SPX","solvency",3,"5","hsd_ann",6.5,FALSE,""
"SPX","solvency",3,"5","appraisal_ann",1.01,FALSE,""
"SPX","solvency",5,"1","mean_ann",11.77,FALSE,""
"SPX","solvency",5,"1","sd_ann",16.24,FALSE,""
"SPX","solvency",5,"1","sharpe_ann",0.72,FALSE,""
"SPX","solvency",5,"1","alpha_ann",8.63,FALSE,""
"SPX","solvency",5,"1","beta",0.43,FALSE,""
"SPX","solvency",5,"1","hsd_ann",14.26,FALSE,""
"SPX","solvency",5,"1","appraisal_ann",0.6,FALSE,""
"SPX","solvency",5,"3","mean_ann",11.4,FALSE,""
"SPX","solvency",5,"3","sd_ann",12.25,FALSE,""
"SPX","solvency",5,"3","sharpe_ann",0.93,FALSE,""
"SPX","solvency",5,"3","alpha_ann",9.24,FALSE,""
"SPX","solvency",5,"3","beta",0.3,FALSE,""
"SPX","solvency",5,"3","hsd_ann",11.03,FALSE,""
"SPX","solvency",5,"3","appraisal_ann",0.84,FALSE,""
"SPX","solvency",5,"5","mean_ann",11.31,FALSE,""
"SPX","solvency",5,"5","sd_ann",9.83,FALSE,""
"SPX","solvency",5,"5","sharpe_ann",1.15,FALSE,""
"SPX","solvency",5,"5","alpha_ann",9.77,FALSE,""
"SPX","solvency",5,"5","beta",0.21,FALSE,""
"SPX","solvency",5,"5","hsd_ann",9.06,FALSE,""
"SPX","solvency",5,"5","appraisal_ann",1.08,FALSE,""
"NDX","unconstrained",2,"1","mean_ann",6.83,FALSE,""
"NDX","unconstrained",2,"1","sd_ann",7.3,FALSE,""
"NDX","unconstrained",2,"1","sharpe_ann",0.93,FALSE,""
"NDX","unconstrained",2,"1","alpha_ann",4.84,FALSE,""
"NDX","unconstrained",2,"1","beta",0.15,FALSE,""
"NDX","unconstrained",2,"1","hsd_ann",6.37,FALSE,""
"NDX","unconstrained",2,"1","appraisal_ann",0.76,FALSE,""
"NDX","unconstrained",2,"3","mean_ann",7.45,FALSE,""
"NDX","unconstrained",2,"3","sd_ann",6.4,FALSE,""
"NDX","unconstrained",2,"3","sharpe_ann",1.16,FALSE,""
"NDX","unconstrained",2,"3","alpha_ann",5.58,FALSE,""
"NDX","unconstrained",2,"3","beta",0.14,FALSE,""
"NDX","unconstrained",2,"3","hsd_ann",5.45,FALSE,""
"NDX","unconstrained",2,"3","appraisal_ann",1.02,FALSE,""
"NDX","unconstrained",2,"5","mean_ann",7.18,FALSE,""
"NDX","unconstrained",2,"5","sd_ann",5.1,FALSE,""
"NDX","unconstrained",2,"5","sharpe_ann",1.41,FALSE,""
"NDX","unconstrained",2,"5","alpha_ann",5.56,FALSE,""
"NDX","unconstrained",2,"5","beta",0.12,FALSE,""
"NDX","unconstrained",2,"5","hsd_ann",4.19,FALSE,""
"NDX","unconstrained",2,"5","appraisal_ann",1.33,FALSE,""
"NDX","unconstrained",3,"1","mean_ann",12.27,FALSE,""
"NDX","unconstrained",3,"1","sd_ann",11.61,FALSE,""
"NDX","unconstrained",3,"1","sharpe_ann",1.06,FALSE,""
"NDX","unconstrained",3,"1","alpha_ann",8.72,FALSE,""
