"period","asset","leverage_pct","gamma","statistic","paper","diagnosed_numerical_exception","exception_reason"
"2001-2005","SPX options",2,3,"hsd_ann",5.18,FALSE,""
"2001-2005","SPX options",2,3,"appraisal_ann",0.46,FALSE,""
"2001-2005","SPX options",2,5,"mean_ann",2.44,FALSE,""
"2001-2005","SPX options",2,5,"sd_ann",5.83,FALSE,""
"2001-2005","SPX options",2,5,"sharpe_ann",0.42,FALSE,""
"2001-2005","SPX options",2,5,"alpha_ann",2.23,FALSE,""
"2001-2005","SPX options",2,5,"beta",0.16,FALSE,""
"2001-2005","SPX options",2,5,"hsd_ann",5.02,FALSE,""
"2001-2005","SPX options",2,5,"appraisal_ann",0.45,FALSE,""
"2001-2005","SPX options",3,1,"mean_ann",4.1,FALSE,""
"2001-2005","SPX options",3,1,"sd_ann",9.7,FALSE,""
"2001-2005","SPX options",3,1,"sharpe_ann",0.42,FALSE,""
"2001-2005","SPX options",3,1,"alpha_ann",3.74,FALSE,""
"2001-2005","SPX options",3,1,"beta",0.28,FALSE,""
"2001-2005","SPX options",3,1,"hsd_ann",8.17,FALSE,""
"2001-2005","SPX options",3,1,"appraisal_ann",0.46,FALSE,""
"2001-2005","SPX options",3,3,"mean_ann",3.76,FALSE,""
"2001-2005","SPX options",3,3,"sd_ann",9.16,FALSE,""
"2001-2005","SPX options",3,3,"sharpe_ann",0.41,FALSE,""
"2001-2005","SPX options",3,3,"alpha_ann",3.43,FALSE,""
"2001-2005","SPX options",3,3,"beta",0.25,FALSE,""
"2001-2005","SPX options",3,3,"hsd_ann",7.85,FALSE,""
"2001-2005","SPX options",3,3,"appraisal_ann",0.44,FALSE,""
"2001-2005","SPX options",3,5,"mean_ann",3.33,FALSE,""
"2001-2005","SPX options",3,5,"sd_ann",8.1,FALSE,""
"2001-2005","SPX options",3,5,"sharpe_ann",0.41,FALSE,""
"2001-2005","SPX options",3,5,"alpha_ann",3.05,FALSE,""
"2001-2005","SPX options",3,5,"beta",0.21,FALSE,""
"2001-2005","SPX options",3,5,"hsd_ann",7.04,FALSE,""
"2001-2005","SPX options",3,5,"appraisal_ann",0.43,FALSE,""
"2001-2005","SPX options",5,1,"mean_ann",6.18,FALSE,""
"2001-2005","SPX options",5,1,"sd_ann",16.34,FALSE,""
"2001-2005","SPX options",5,1,"sharpe_ann",0.38,FALSE,""
"2001-2005","SPX options",5,1,"alpha_ann",5.58,FALSE,""
"2001-2005","SPX options",5,1,"beta",0.46,FALSE,""
"2001-2005","SPX options",5,1,"hsd_ann",13.81,FALSE,""
"2001-2005","SPX options",5,1,"appraisal_ann",0.4,FALSE,""
"2001-2005","SPX options",5,3,"mean_ann",4.81,FALSE,""
"2001-2005","SPX options",5,3,"sd_ann",13.64,FALSE,""
"2001-2005","SPX options",5,3,"sharpe_ann",0.35,FALSE,""
"2001-2005","SPX options",5,3,"alpha_ann",4.33,FALSE,""
"2001-2005","SPX options",5,3,"beta",0.36,FALSE,""
"2001-2005","SPX options",5,3,"hsd_ann",11.8,FALSE,""
"2001-2005","SPX options",5,3,"appraisal_ann",0.37,FALSE,""
"2001-2005","SPX options",5,5,"mean_ann",4.08,FALSE,""
"2001-2005","SPX options",5,5,"sd_ann",11.61,FALSE,""
"2001-2005","SPX options",5,5,"sharpe_ann",0.35,FALSE,""
"2001-2005","SPX options",5,5,"alpha_ann",3.69,FALSE,""
"2001-2005","SPX options",5,5,"beta",0.3,FALSE,""
"2001-2005","SPX options",5,5,"hsd_ann",10.16,FALSE,""
"2001-2005","SPX options",5,5,"appraisal_ann",0.36,FALSE,""
"2001-2005","SPX index",NA,NA,"mean_ann",1.31,FALSE,""
"2001-2005","SPX index",NA,NA,"sd_ann",18.91,FALSE,""
"2001-2005","SPX index",NA,NA,"sharpe_ann",0.07,FALSE,""
"2006-2010","SPX options",2,1,"mean_ann",5.05,FALSE,""
"2006-2010","SPX options",2,1,"sd_ann",3.22,FALSE,""
"2006-2010","SPX options",2,1,"sharpe_ann",1.57,FALSE,""
"2006-2010","SPX options",2,1,"alpha_ann",5.14,FALSE,""
"2006-2010","SPX options",2,1,"beta",0.09,FALSE,""
"2006-2010","SPX options",2,1,"hsd_ann",2.77,FALSE,""
"2006-2010","SPX options",2,1,"appraisal_ann",1.86,FALSE,""
"2006-2010","SPX options",2,3,"mean_ann",5.23,FALSE,""
"2006-2010","SPX options",2,3,"sd_ann",3.23,FALSE,""
"2006-2010","SPX options",2,3,"sharpe_ann",1.62,FALSE,""
"2006-2010","SPX options",2,3,"alpha_ann",5.31,FALSE,""
"2006-2010","SPX options",2,3,"beta",0.09,FALSE,""
