"ticker","panel","leverage_pct","gamma","statistic","paper"
"DJX","unconstrained",3,5,"mean_effective_position_pct",1.65
"DJX","unconstrained",3,5,"sd_effective_position_pct",0.34
"DJX","solvency",3,5,"mean_effective_position_pct",1.62
"DJX","solvency",3,5,"sd_effective_position_pct",0.33
"DJX","unconstrained",5,1,"mean_effective_position_pct",3.11
"DJX","unconstrained",5,1,"sd_effective_position_pct",0.49
"DJX","solvency",5,1,"mean_effective_position_pct",2.92
"DJX","solvency",5,1,"sd_effective_position_pct",0.47
"DJX","unconstrained",5,3,"mean_effective_position_pct",2.77
"DJX","unconstrained",5,3,"sd_effective_position_pct",0.56
"DJX","solvency",5,3,"mean_effective_position_pct",2.69
"DJX","solvency",5,3,"sd_effective_position_pct",0.56
"DJX","unconstrained",5,5,"mean_effective_position_pct",2.52
"DJX","unconstrained",5,5,"sd_effective_position_pct",0.6
"DJX","solvency",5,5,"mean_effective_position_pct",2.46
"DJX","solvency",5,5,"sd_effective_position_pct",0.6
